,Alpha Dollar PnL,Net Futures Exposure
2013-10-12,132211.25,1.5
2013-10-13,132211.25,1.5
2013-10-14,132211.25,1.5
2013-10-15,132117.5,1.5
2013-10-16,133667.75,3.5
2013-10-17,135893.0,1.5
2013-10-18,136674.5,3.5
2013-10-19,136674.5,3.5
2013-10-20,136674.5,3.5
2013-10-21,136750.0,3.5
2013-10-22,138937.5,3.5
2013-10-23,137306.75,3.5
2013-10-24,138219.5,1.5
2013-10-25,138713.75,5.5
2013-10-26,138713.75,5.5
2013-10-27,138713.75,5.5
2013-10-28,139464.0,3.5
2013-10-29,141126.5,3.5
2013-10-30,140239.5,3.5
2013-10-31,139664.75,1.5
2013-11-01,139690.25,5.5
2013-11-02,139690.25,5.5
2013-11-03,139690.25,5.5
2013-11-04,140790.25,5.5
2013-11-05,140365.75,1.5
2013-11-06,140722.0,1.5
2013-11-07,139141.0,3.5
2013-11-08,142810.0,1.5
2013-11-09,142810.0,1.5
2013-11-10,142810.0,1.5
2013-11-11,142810.0,1.5
2013-11-12,142741.75,5.5
2013-11-13,146035.75,3.5
2013-11-14,148267.0,3.5
2013-11-15,149048.5,5.5
2013-11-16,149048.5,5.5
2013-11-17,149048.5,5.5
2013-11-18,147317.75,1.5
2013-11-19,147199.25,3.5
2013-11-20,146061.75,3.5
2013-11-21,148587.25,3.5
2013-11-22,150287.5,5.5
2013-11-23,150287.5,5.5
2013-11-24,150287.5,5.5
2013-11-25,149525.25,7.5
2013-11-26,150925.5,5.5
2013-11-27,151544.25,5.5
2013-11-28,151544.25,5.5
2013-11-29,150913.5,5.5
2013-11-30,150913.5,5.5
2013-12-01,150913.5,5.5
2013-12-02,149532.5,3.5
2013-12-03,148126.5,5.5
2013-12-04,149157.75,5.5
2013-12-05,146126.75,3.5
2013-12-06,149352.25,7.5
2013-12-07,149352.25,7.5
2013-12-08,149352.25,7.5
2013-12-09,151502.5,5.5
2013-12-10,150115.5,5.5
2013-12-11,143922.0,3.5
2013-12-12,143303.5,5.5
2013-12-13,143234.75,5.5
2013-12-14,143234.75,5.5
2013-12-15,143234.75,5.5
2013-12-16,146247.75,5.5
2013-12-17,144517.0,5.5
2013-12-18,152234.75,3.5
2013-12-19,152016.0,3.5
2013-12-20,154022.5,5.5
2013-12-21,154022.5,5.5
2013-12-22,154022.5,5.5
2013-12-23,156147.75,3.5
2013-12-24,157454.25,5.5
2013-12-25,157454.25,5.5
2013-12-26,159723.0,5.5
2013-12-27,159373.25,3.5
2013-12-28,159373.25,3.5
2013-12-29,159373.25,3.5
2013-12-30,159061.0,5.5
2013-12-31,161111.5,5.5
2014-01-01,161111.5,5.5
2014-01-02,156911.75,3.5
2014-01-03,157124.5,5.5
2014-01-04,157124.5,5.5
2014-01-05,157124.5,5.5
2014-01-06,155737.5,5.5
2014-01-07,158550.25,7.5
2014-01-08,157507.0,3.5
2014-01-09,157857.0,3.5
2014-01-10,158457.5,7.5
2014-01-11,158457.5,7.5
2014-01-12,158457.5,7.5
2014-01-13,149070.5,3.5
2014-01-14,152827.0,5.5
2014-01-15,155777.25,7.5
2014-01-16,153990.0,5.5
2014-01-17,151846.75,5.5
2014-01-18,151846.75,5.5
2014-01-19,151846.75,5.5
2014-01-20,151846.75,5.5
2014-01-21,153828.5,5.5
2014-01-22,154653.5,5.5
2014-01-23,149416.5,5.5
2014-01-24,139991.75,3.5
2014-01-25,139991.75,3.5
2014-01-26,139991.75,3.5
2014-01-27,138842.25,7.5
2014-01-28,141092.25,7.5
2014-01-29,135086.25,5.5
2014-01-30,140236.5,7.5
2014-01-31,135918.0,5.5
2014-02-01,135918.0,5.5
2014-02-02,135918.0,5.5
2014-02-03,124155.75,7.5
2014-02-04,129681.0,5.5
2014-02-05,129193.75,7.5
2014-02-06,136693.75,7.5
2014-02-07,145963.0,3.5
2014-02-08,145963.0,3.5
2014-02-09,145963.0,3.5
2014-02-10,146088.25,5.5
2014-02-11,152407.25,3.5
2014-02-12,152144.75,3.5
2014-02-13,153839.0,7.5
2014-02-14,157295.75,3.5
2014-02-15,157295.75,3.5
2014-02-16,157295.75,3.5
2014-02-17,157295.75,3.5
2014-02-18,157808.75,7.5
2014-02-19,153302.75,5.5
2014-02-20,156809.0,5.5
2014-02-21,156321.75,7.5
2014-02-22,156321.75,7.5
2014-02-23,156321.75,7.5
2014-02-24,160815.75,5.5
2014-02-25,158403.5,7.5
2014-02-26,159247.25,7.5
2014-02-27,162428.75,5.5
2014-02-28,163797.75,7.5
2014-03-01,163797.75,7.5
2014-03-02,163797.75,7.5
2014-03-03,158823.0,5.5
2014-03-04,167342.0,3.5
2014-03-05,167029.75,5.5
2014-03-06,168398.75,3.5
2014-03-07,167999.0,5.5
2014-03-08,167999.0,5.5
2014-03-09,167999.0,5.5
2014-03-10,168543.0,7.5
2014-03-11,164130.75,5.5
2014-03-12,164199.5,5.5
2014-03-13,159449.75,7.5
2014-03-14,157381.25,5.5
2014-03-15,157381.25,5.5
2014-03-16,157381.25,5.5
2014-03-17,161288.0,5.5
2014-03-18,165132.0,3.5
2014-03-19,163830.25,3.5
2014-03-20,165174.5,7.5
2014-03-21,162725.0,3.5
2014-03-22,162725.0,3.5
2014-03-23,162725.0,3.5
2014-03-24,162013.0,7.5
2014-03-25,164251.0,3.5
2014-03-26,162489.0,7.5
2014-03-27,159770.25,7.5
2014-03-28,162570.75,3.5
2014-03-29,162570.75,3.5
2014-03-30,162570.75,3.5
2014-03-31,165490.0,7.5
2014-04-01,169509.25,3.5
2014-04-02,170909.25,3.5
2014-04-03,170509.5,5.5
2014-04-04,164178.5,3.5
2014-04-05,164178.5,3.5
2014-04-06,164178.5,3.5
2014-04-07,160972.75,7.5
2014-04-08,162935.5,5.5
2014-04-09,167816.75,5.5
2014-04-10,158735.75,7.5
2014-04-11,151698.5,5.5
2014-04-12,151698.5,5.5
2014-04-13,151698.5,5.5
2014-04-14,153686.25,7.5
2014-04-15,159217.5,7.5
2014-04-16,166430.25,5.5
2014-04-17,168343.25,5.5
2014-04-18,167443.5,3.5
2014-04-19,167443.5,3.5
2014-04-20,167443.5,3.5
2014-04-21,168581.0,3.5
2014-04-22,170368.75,5.5
2014-04-23,169056.5,3.5
2014-04-24,169400.5,5.5
2014-04-25,165825.5,5.5
2014-04-26,165825.5,5.5
2014-04-27,165825.5,5.5
2014-04-28,167950.75,3.5
2014-04-29,168951.0,5.5
2014-04-30,170595.0,3.5
2014-05-01,170064.0,5.5
2014-05-02,169926.5,5.5
2014-05-03,169926.5,5.5
2014-05-04,169926.5,5.5
2014-05-05,170739.5,5.5
2014-05-06,167158.5,7.5
2014-05-07,170246.25,5.5
2014-05-08,169484.0,3.5
2014-05-09,170265.5,5.5
2014-05-10,170265.5,5.5
2014-05-11,170265.5,5.5
2014-05-12,175140.75,3.5
2014-05-13,175397.25,5.5
2014-05-14,172778.75,7.5
2014-05-15,166772.75,5.5
2014-05-16,168279.25,7.5
2014-05-17,168279.25,7.5
2014-05-18,168279.25,7.5
2014-05-19,171642.25,3.5
2014-05-20,169667.5,5.5
2014-05-21,173236.5,7.5
2014-05-22,175568.25,3.5
2014-05-23,176874.75,5.5
2014-05-24,176874.75,5.5
2014-05-25,176874.75,5.5
2014-05-26,176874.75,5.5
2014-05-27,179893.75,3.5
2014-05-28,180068.75,3.5
2014-05-29,181156.5,5.5
2014-05-30,182388.0,3.5
2014-05-31,182388.0,3.5
2014-06-01,182388.0,3.5
2014-06-02,182863.25,5.5
2014-06-03,182450.75,5.5
2014-06-04,183476.0,3.5
2014-06-05,185657.5,5.5
2014-06-06,187782.75,3.5
2014-06-07,187782.75,3.5
2014-06-08,187782.75,3.5
2014-06-09,188301.75,5.5
2014-06-10,188095.5,5.5
2014-06-11,186852.0,3.5
2014-06-12,184046.0,5.5
2014-06-13,184721.5,5.5
2014-06-14,184721.5,5.5
2014-06-15,184721.5,5.5
2014-06-16,186302.75,5.5
2014-06-17,188221.75,7.5
2014-06-18,193215.25,3.5
2014-06-19,193515.5,5.5
2014-06-20,194409.25,5.5
2014-06-21,194409.25,5.5
2014-06-22,194409.25,5.5
2014-06-23,194265.75,3.5
2014-06-24,192334.75,5.5
2014-06-25,195147.5,3.5
2014-06-26,194491.25,3.5
2014-06-27,195004.25,7.5
2014-06-28,195004.25,7.5
2014-06-29,195004.25,7.5
2014-06-30,194717.0,5.5
2014-07-01,199655.0,5.5
2014-07-02,198755.25,3.5
2014-07-03,200767.75,3.5
2014-07-04,200767.75,3.5
2014-07-05,200767.75,3.5
2014-07-06,200767.75,3.5
2014-07-07,199361.75,5.5
2014-07-08,195987.0,3.5
2014-07-09,197643.5,5.5
2014-07-10,195649.75,5.5
2014-07-11,196187.75,5.5
2014-07-12,196187.75,5.5
2014-07-13,196187.75,5.5
2014-07-14,198656.75,7.5
2014-07-15,197338.25,5.5
2014-07-16,199532.25,3.5
2014-07-17,195101.5,7.5
2014-07-18,203251.75,5.5
2014-07-19,203251.75,5.5
2014-07-20,203251.75,5.5
2014-07-21,202414.75,5.5
2014-07-22,204958.5,5.5
2014-07-23,206052.5,3.5
2014-07-24,206221.5,5.5
2014-07-25,203053.0,3.5
2014-07-26,203053.0,3.5
2014-07-27,203053.0,3.5
2014-07-28,203484.5,5.5
2014-07-29,201215.75,5.5
2014-07-30,201203.75,5.5
2014-07-31,190816.5,7.5
2014-08-01,187904.25,5.5
2014-08-02,187904.25,5.5
2014-08-03,187904.25,5.5
2014-08-04,192235.5,5.5
2014-08-05,186735.5,5.5
2014-08-06,186660.75,7.5
2014-08-07,182061.0,5.5
2014-08-08,188586.25,7.5
2014-08-09,188586.25,7.5
2014-08-10,188586.25,7.5
2014-08-11,190449.25,3.5
2014-08-12,190180.75,5.5
2014-08-13,193612.25,3.5
2014-08-14,194924.75,3.5
2014-08-15,194831.25,5.5
2014-08-16,194831.25,5.5
2014-08-17,194831.25,5.5
2014-08-18,199494.25,5.5
2014-08-19,202650.75,7.5
2014-08-20,205182.0,7.5
2014-08-21,206957.25,5.5
2014-08-22,205707.75,5.5
2014-08-23,205707.75,5.5
2014-08-24,205707.75,5.5
2014-08-25,208652.0,5.5
2014-08-26,209333.5,7.5
2014-08-27,208583.5,7.5
2014-08-28,208102.75,3.5
2014-08-29,208922.0,7.5
2014-08-30,208922.0,7.5
2014-08-31,208922.0,7.5
2014-09-01,208922.0,7.5
2014-09-02,208822.25,5.5
2014-09-03,208197.5,3.5
2014-09-04,207447.75,5.5
2014-09-05,210529.5,5.5
2014-09-06,210529.5,5.5
2014-09-07,210529.5,5.5
2014-09-08,209354.75,7.5
2014-09-09,203817.5,5.5
2014-09-10,206011.5,3.5
2014-09-11,206262.0,7.5
2014-09-12,201937.5,3.5
2014-09-13,201937.5,3.5
2014-09-14,201937.5,3.5
2014-09-15,202019.0,5.5
2014-09-16,206413.0,7.5
2014-09-17,206719.0,3.5
2014-09-18,208594.25,5.5
2014-09-19,209138.25,3.5
2014-09-20,209138.25,3.5
2014-09-21,209138.25,3.5
2014-09-22,205900.75,3.5
2014-09-23,204532.5,7.5
2014-09-24,208645.5,3.5
2014-09-25,203646.0,7.5
2014-09-26,208333.5,7.5
2014-09-27,208333.5,7.5
2014-09-28,208333.5,7.5
2014-09-29,207015.0,5.5
2014-09-30,205909.0,7.5
2014-10-01,196528.0,5.5
2014-10-02,195084.25,5.5
2014-10-03,201884.5,7.5
2014-10-04,201884.5,7.5
2014-10-05,201884.5,7.5
2014-10-06,200566.0,5.5
2014-10-07,193410.0,7.5
2014-10-08,204560.25,5.5
2014-10-09,194179.0,5.5
2014-10-10,189085.5,7.5
2014-10-11,189085.5,7.5
2014-10-12,189085.5,7.5
2014-10-13,189085.5,7.5
2014-10-14,177267.0,5.5
2014-10-15,173273.5,7.5
2014-10-16,172898.5,7.5
2014-10-17,182917.75,3.5
2014-10-18,182917.75,3.5
2014-10-19,182917.75,3.5
2014-10-20,184924.25,5.5
2014-10-21,194955.75,3.5
2014-10-22,192987.0,3.5
2014-10-23,197224.75,5.5
2014-10-24,200175.0,3.5
2014-10-25,200175.0,3.5
2014-10-26,200175.0,3.5
2014-10-27,199731.5,5.5
2014-10-28,205431.75,3.5
2014-10-29,205606.75,3.5
2014-10-30,207301.0,7.5
2014-10-31,216101.5,3.5
2014-11-01,216101.5,3.5
2014-11-02,216101.5,3.5
2014-11-03,216270.5,5.5
2014-11-04,215027.0,7.5
2014-11-05,218858.75,3.5
2014-11-06,220515.25,5.5
2014-11-07,220440.5,3.5
2014-11-08,220440.5,3.5
2014-11-09,220440.5,3.5
2014-11-10,221621.75,3.5
2014-11-11,221621.75,3.5
2014-11-12,222315.75,5.5
2014-11-13,222447.25,3.5
2014-11-14,222310.0,5.5
2014-11-15,222310.0,5.5
2014-11-16,222310.0,5.5
2014-11-17,222997.5,5.5
2014-11-18,226429.0,3.5
2014-11-19,225504.25,5.5
2014-11-20,226661.0,5.5
2014-11-21,229880.25,5.5
2014-11-22,229880.25,5.5
2014-11-23,229880.25,5.5
2014-11-24,231255.25,5.5
2014-11-25,231249.25,3.5
2014-11-26,231899.5,5.5
2014-11-27,231899.5,5.5
2014-11-28,230787.5,5.5
2014-11-29,230787.5,5.5
2014-11-30,230787.5,5.5
2014-12-01,226868.75,5.5
2014-12-02,230369.0,7.5
2014-12-03,233831.75,5.5
2014-12-04,232450.75,7.5
2014-12-05,233669.5,7.5
2014-12-06,233669.5,7.5
2014-12-07,233669.5,7.5
2014-12-08,228220.0,3.5
2014-12-09,228126.5,5.5
2014-12-10,219595.5,3.5
2014-12-11,221739.25,3.5
2014-12-12,216045.75,5.5
2014-12-13,216045.75,5.5
2014-12-14,216045.75,5.5
2014-12-15,212121.0,3.5
2014-12-16,210277.5,5.5
2014-12-17,218889.0,3.5
2014-12-18,226107.75,3.5
2014-12-19,230295.75,7.5
2014-12-20,230295.75,7.5
2014-12-21,230295.75,7.5
2014-12-22,230571.0,5.5
2014-12-23,232008.75,7.5
2014-12-24,231721.5,5.5
2014-12-25,231721.5,5.5
2014-12-26,234047.0,5.5
2014-12-27,234047.0,5.5
2014-12-28,234047.0,5.5
2014-12-29,234178.5,7.5
2014-12-30,229760.25,3.5
2014-12-31,226522.75,3.5
2015-01-01,226522.75,3.5
2015-01-02,226035.5,5.5
2015-01-03,226035.5,5.5
2015-01-04,226035.5,5.5
2015-01-05,215167.0,3.5
2015-01-06,213236.0,5.5
2015-01-07,217217.5,7.5
2015-01-08,230524.0,5.5
2015-01-09,227149.25,7.5
2015-01-10,227149.25,7.5
2015-01-11,227149.25,7.5
2015-01-12,219918.5,3.5
2015-01-13,219174.75,3.5
2015-01-14,217068.75,5.5
2015-01-15,213075.25,3.5
2015-01-16,216607.0,7.5
2015-01-17,216607.0,7.5
2015-01-18,216607.0,7.5
2015-01-19,216607.0,7.5
2015-01-20,218851.0,5.5
2015-01-21,221463.5,5.5
2015-01-22,229707.5,7.5
2015-01-23,226232.75,5.5
2015-01-24,226232.75,5.5
2015-01-25,226232.75,5.5
2015-01-26,226495.75,5.5
2015-01-27,220583.25,5.5
2015-01-28,211983.5,3.5
2015-01-29,215346.25,5.5
2015-01-30,209009.25,5.5
2015-01-31,209009.25,5.5
2015-02-01,209009.25,5.5
2015-02-02,214847.0,3.5
2015-02-03,219953.75,7.5
2015-02-04,216947.75,5.5
2015-02-05,222923.0,7.5
2015-02-06,218979.5,5.5
2015-02-07,218979.5,5.5
2015-02-08,218979.5,5.5
2015-02-09,218211.25,5.5
2015-02-10,224180.5,5.5
2015-02-11,224174.5,7.5
2015-02-12,231487.0,7.5
2015-02-13,234293.5,5.5
2015-02-14,234293.5,5.5
2015-02-15,234293.5,5.5
2015-02-16,234293.5,5.5
2015-02-17,234906.25,7.5
2015-02-18,234806.5,5.5
2015-02-19,234737.75,5.5
2015-02-20,238444.25,7.5
2015-02-21,238444.25,7.5
2015-02-22,238444.25,7.5
2015-02-23,237407.0,5.5
2015-02-24,240082.25,7.5
2015-02-25,238482.5,5.5
2015-02-26,238064.0,3.5
2015-02-27,237183.0,5.5
2015-02-28,237183.0,5.5
2015-03-01,237183.0,5.5
2015-03-02,240402.25,5.5
2015-03-03,237440.0,3.5
2015-03-04,236121.5,5.5
2015-03-05,236940.5,3.5
2015-03-06,231159.5,5.5
2015-03-07,231159.5,5.5
2015-03-08,231159.5,5.5
2015-03-09,234866.0,3.5
2015-03-10,229134.75,3.5
2015-03-11,227772.5,5.5
2015-03-12,234841.75,5.5
2015-03-13,230567.25,5.5
2015-03-14,230567.25,5.5
2015-03-15,230567.25,5.5
2015-03-16,238748.5,5.5
2015-03-17,237705.25,5.5
2015-03-18,243910.5,7.5
2015-03-19,239961.0,3.5
2015-03-20,244117.25,3.5
2015-03-21,244117.25,3.5
2015-03-22,244117.25,3.5
2015-03-23,243580.25,7.5
2015-03-24,238037.0,3.5
2015-03-25,232562.25,5.5
2015-03-26,231118.5,5.5
2015-03-27,231868.75,3.5
2015-03-28,231868.75,3.5
2015-03-29,231868.75,3.5
2015-03-30,236669.25,7.5
2015-03-31,229813.5,3.5
2015-04-01,227445.0,5.5
2015-04-02,231088.75,5.5
2015-04-03,225032.75,3.5
2015-04-04,225032.75,3.5
2015-04-05,225032.75,3.5
2015-04-06,231064.25,5.5
2015-04-07,230364.75,5.5
2015-04-08,230983.5,5.5
2015-04-09,233727.5,7.5
2015-04-10,237846.5,5.5
2015-04-11,237846.5,5.5
2015-04-12,237846.5,5.5
2015-04-13,235703.25,5.5
2015-04-14,236310.0,5.5
2015-04-15,239122.75,7.5
2015-04-16,238648.0,5.5
2015-04-17,232179.5,3.5
2015-04-18,232179.5,3.5
2015-04-19,232179.5,3.5
2015-04-20,235411.0,5.5
2015-04-21,234436.5,5.5
2015-04-22,237524.25,7.5
2015-04-23,240612.0,5.5
2015-04-24,241093.25,5.5
2015-04-25,241093.25,5.5
2015-04-26,241093.25,5.5
2015-04-27,238468.75,5.5
2015-04-28,240106.75,5.5
2015-04-29,238169.75,5.5
2015-04-30,231226.0,5.5
2015-05-01,237888.75,3.5
2015-05-02,237888.75,3.5
2015-05-03,237888.75,3.5
2015-05-04,239626.75,7.5
2015-05-05,230333.5,3.5
2015-05-06,227446.0,3.5
2015-05-07,229709.0,7.5
2015-05-08,240953.0,5.5
2015-05-09,240953.0,5.5
2015-05-10,240953.0,5.5
2015-05-11,238678.25,7.5
2015-05-12,235953.5,5.5
2015-05-13,235535.0,3.5
2015-05-14,239154.25,7.5
2015-05-15,240085.75,5.5
2015-05-16,240085.75,5.5
2015-05-17,240085.75,5.5
2015-05-18,242486.0,3.5
2015-05-19,241911.25,5.5
2015-05-20,242111.5,3.5
2015-05-21,243243.0,5.5
2015-05-22,241999.5,3.5
2015-05-23,241999.5,3.5
2015-05-24,241999.5,3.5
2015-05-25,241999.5,3.5
2015-05-26,237793.5,5.5
2015-05-27,243425.0,7.5
2015-05-28,242006.75,3.5
2015-05-29,240332.25,7.5
